"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 17, 2010","9,755.1","9,671","9,841.3","9,650.9","239.36M","0.87%"
"Jun 18, 2010","9,971.8","9,774.8","10,051.8","9,773.6","398.79M","2.02%"
"Jun 21, 2010","10,071.9","10,127.7","10,209.5","10,016","203.96M","-0.55%"
"Jun 22, 2010","10,016.1","10,020.7","10,071.7","9,872","225.62M","-0.05%"
"Jun 23, 2010","9,886","9,896.6","10,031.3","9,824.7","186.33M","-0.11%"
"Jun 24, 2010","9,586.5","9,953.7","9,969.8","9,549.3","221.76M","-3.69%"
"Jun 25, 2010","9,535","9,576.4","9,677.6","9,451.5","229.34M","-0.43%"
"Jun 28, 2010","9,688.5","9,612.4","9,705.2","9,490.1","186.72M","0.79%"
"Jun 29, 2010","9,160.4","9,525.4","9,544.9","9,160.4","247.66M","-3.83%"
"Jun 30, 2010","9,263.4","9,212.1","9,407.4","9,122.6","279.91M","0.56%"
"Jul 01, 2010","9,178.2","9,041.7","9,341","8,977.7","277.68M","1.51%"
"Jul 02, 2010","9,250.8","9,228","9,434.3","9,158.7","209.53M","0.25%"
"Jul 05, 2010","9,281.5","9,247.3","9,367.3","9,202","153.61M","0.37%"
"Jul 06, 2010","9,615","9,356","9,698.1","9,346.3","222.68M","2.77%"
"Jul 07, 2010","9,987.4","9,529.8","9,987.4","9,457","345.16M","4.8%"
"Jul 08, 2010","10,080.5","10,067.9","10,120.7","9,929.6","320.94M","0.13%"
"Jul 09, 2010","10,127.3","10,165.4","10,185.5","10,044.7","204.14M","-0.37%"
"Jul 12, 2010","10,058.2","10,145.4","10,146.4","9,967.5","153.82M","-0.86%"
"Jul 13, 2010","10,259.5","10,084.6","10,259.5","10,044","181.69M","1.73%"
"Jul 14, 2010","10,278.5","10,309.6","10,315.2","10,159.4","183.79M","-0.3%"
"Jul 15, 2010","10,160.2","10,232.7","10,318.7","10,077.3","249.58M","-0.71%"
"Jul 16, 2010","9,991.7","10,196.2","10,253.9","9,913.3","206.86M","-2.01%"
"Jul 19, 2010","9,929.8","9,961.3","10,157.6","9,849.9","154.04M","-0.32%"
"Jul 20, 2010","10,061.3","10,036.2","10,076.2","9,804.9","192.43M","0.25%"
"Jul 21, 2010","10,040.8","10,129.1","10,168.3","10,003.5","185M","-0.87%"
"Jul 22, 2010","10,302.9","9,974.4","10,334.7","9,967.8","203.14M","3.29%"
"Jul 23, 2010","10,388.2","10,257.5","10,417.3","10,221.4","279.66M","1.27%"
"Jul 26, 2010","10,506.7","10,476.7","10,512.4","10,331","174.56M","0.29%"
"Jul 27, 2010","10,645","10,544.8","10,684.7","10,533.1","257.33M","0.95%"
"Jul 28, 2010","10,643.9","10,712.4","10,721.8","10,595.9","196.58M","-0.64%"
"Jul 29, 2010","10,659.5","10,678","10,788","10,602.5","217.49M","-0.17%"
"Jul 30, 2010","10,499.8","10,607.8","10,638.6","10,430.3","214.58M","-1.02%"
"Aug 02, 2010","10,835.4","10,535.4","10,860.8","10,489.8","219.45M","2.85%"
"Aug 03, 2010","10,871.4","10,781.9","10,884","10,727.4","182.95M","0.83%"
"Aug 04, 2010","10,843.3","10,865.4","10,905.7","10,720.5","150.73M","-0.2%"
"Aug 05, 2010","10,840","10,868.4","10,953.1","10,786.4","150.18M","-0.26%"
