"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 11, 2016","79.9471","79.8730","80.2161","79.7390","-","0.71%"
"Mar 10, 2016","79.3796","79.3380","79.5140","78.8093","-","-0.08%"
"Mar 09, 2016","79.4445","78.2625","79.4626","78.2457","-","1.30%"
"Mar 08, 2016","78.4241","78.8003","79.5095","78.3069","-","-1.10%"
"Mar 07, 2016","79.2960","78.4541","79.4982","78.3036","-","1.17%"
"Mar 04, 2016","78.3828","77.0599","78.4249","77.0321","-","1.97%"
"Mar 03, 2016","76.8692","76.4008","77.0101","76.2794","-","0.53%"
"Mar 02, 2016","76.4606","76.0324","76.6594","75.9348","-","0.49%"
"Mar 01, 2016","76.0847","75.7828","76.4563","75.5620","-","0.18%"
"Feb 29, 2016","75.9463","75.4827","76.0596","75.2132","-","0.64%"
"Feb 26, 2016","75.4617","75.7193","76.6447","75.3804","-","-0.37%"
"Feb 25, 2016","75.7443","75.7201","75.9332","74.8675","-","-0.04%"
"Feb 24, 2016","75.7747","74.9731","75.9081","74.6280","-","0.80%"
"Feb 23, 2016","75.1753","75.7613","76.1528","74.9704","-","-1.05%"
"Feb 22, 2016","75.9732","75.3290","76.2137","75.2756","-","1.15%"
"Feb 19, 2016","75.1058","75.7005","75.8990","75.0338","-","-0.84%"
"Feb 18, 2016","75.7455","76.1715","76.3674","75.6881","-","-0.37%"
"Feb 17, 2016","76.0288","74.9433","76.1779","74.5775","-","1.76%"
"Feb 16, 2016","74.7166","75.7923","76.1927","74.5716","-","-0.96%"
"Feb 12, 2016","75.4389","74.5406","75.4593","74.4024","-","2.00%"
"Feb 11, 2016","73.9578","73.9603","74.6253","73.8306","-","0.06%"
"Feb 10, 2016","73.9160","74.1608","74.4872","73.7065","-","-0.12%"
"Feb 09, 2016","74.0028","75.6046","75.6833","73.9499","-","-1.99%"
"Feb 08, 2016","75.5048","75.7665","76.1341","75.3429","-","-0.12%"
"Feb 05, 2016","75.5965","76.1445","76.7318","75.5583","-","-0.72%"
"Feb 04, 2016","76.1419","76.5204","77.1573","76.0505","-","-0.17%"
"Feb 03, 2016","76.2718","74.7736","76.2991","74.7390","-","1.90%"
"Feb 02, 2016","74.8500","75.6739","75.9531","74.5090","-","-1.45%"
"Feb 01, 2016","75.9526","76.5692","76.6850","75.6471","-","-1.65%"
"Jan 29, 2016","77.2234","76.3904","77.2516","76.2887","-","1.47%"
"Jan 28, 2016","76.1049","75.9238","77.0377","75.7287","-","-0.02%"
"Jan 27, 2016","76.1198","75.2381","76.4348","75.0461","-","0.82%"
"Jan 26, 2016","75.4990","74.3451","75.8864","73.9379","-","1.35%"
"Jan 25, 2016","74.4959","75.3719","75.5339","74.2476","-","-0.98%"
"Jan 22, 2016","75.2355","73.9762","75.4797","73.8114","-","1.96%"
"Jan 21, 2016","73.7915","73.1782","74.2435","72.5601","-","1.26%"
"Jan 20, 2016","72.8759","73.4073","73.4263","72.3315","-","-1.00%"
"Jan 19, 2016","73.6098","73.7005","74.6824","73.5706","-","0.17%"
"Jan 15, 2016","73.4877","74.4323","74.4657","73.3405","-","-1.44%"
"Jan 14, 2016","74.5594","74.6018","74.8347","74.2349","-","-0.09%"
"Jan 13, 2016","74.6300","74.5858","75.2771","74.4475","-","0.26%"
"Jan 12, 2016","74.4338","74.7493","75.2115","74.0247","-","-0.92%"
"Jan 11, 2016","75.1221","76.3847","76.4085","74.8938","-","-2.09%"
"Jan 08, 2016","76.7265","76.8506","77.1351","76.4476","-","0.06%"
"Jan 07, 2016","76.6828","76.3330","77.2133","75.7032","-","0.05%"
"Jan 06, 2016","76.6414","77.6193","77.7203","76.5634","-","-1.32%"
"Jan 05, 2016","77.6628","78.0775","78.2598","77.4452","-","-0.31%"
